DAC_name, DAC_set_value, DAC_measured, vddd_volt, vddd_curr, vddd_powr, vdda_volt, vdda_curr, vdda_powr, timestamp
IPLoad, 0, 1.625333333333333, 1.8500000000000003, 0.0614, 0.11359000000000001, 1.8500000000000003, 0.054870833333333334, 0.10151104166666665, 20250512_193109
IPLoad, 1, 1.3719999999999999, 1.8500000000000003, 0.06111666666666667, 0.11306583333333335, 1.8500000000000003, 0.05632916666666666, 0.10420895833333334, 20250512_193109
IPLoad, 2, 1.3154166666666667, 1.8500000000000003, 0.061091666666666676, 0.11301958333333335, 1.8500000000000003, 0.058100000000000006, 0.107485, 20250512_193109
IPLoad, 3, 1.28075, 1.8500000000000003, 0.0609, 0.11266500000000002, 1.8500000000000003, 0.059362500000000006, 0.109820625, 20250512_193109
IPLoad, 4, 1.2464166666666667, 1.8500000000000003, 0.0608, 0.11248000000000001, 1.8500000000000003, 0.060804166666666666, 0.11248770833333332, 20250512_193109
IPLoad, 5, 1.2176250000000002, 1.8500000000000003, 0.0607, 0.11229499999999999, 1.8500000000000003, 0.0620125, 0.114723125, 20250512_193109
IPLoad, 6, 1.1877916666666668, 1.8500000000000003, 0.06058750000000001, 0.11208687499999999, 1.8500000000000003, 0.0635375, 0.11754437499999999, 20250512_193109
IPLoad, 7, 1.1627916666666664, 1.8500000000000003, 0.06041250000000001, 0.111763125, 1.8500000000000003, 0.0648, 0.11988, 20250512_193109
IPLoad, 8, 1.1398333333333333, 1.8500000000000003, 0.0604, 0.11174, 1.8500000000000003, 0.0658, 0.12173, 20250512_193109
IPLoad, 9, 1.1146250000000002, 1.8500000000000003, 0.06037499999999999, 0.11169375, 1.8500000000000003, 0.067, 0.12395000000000002, 20250512_193109
IPLoad, 10, 1.0818750000000001, 1.8500000000000003, 0.0602, 0.11137000000000001, 1.8500000000000003, 0.0684, 0.12654, 20250512_193109
IPLoad, 11, 1.0557916666666667, 1.8500000000000003, 0.06010000000000001, 0.11118500000000002, 1.8500000000000003, 0.0695, 0.12857500000000002, 20250512_193109
IPLoad, 12, 1.0215416666666666, 1.8500000000000003, 0.06, 0.111, 1.8500000000000003, 0.0708, 0.13098, 20250512_193109
IPLoad, 13, 0.9890833333333333, 1.8500000000000003, 0.0599, 0.11081500000000001, 1.8500000000000003, 0.071825, 0.13287625, 20250512_193109
IPLoad, 14, 0.9490416666666666, 1.8500000000000003, 0.0597875, 0.110606875, 1.8500000000000003, 0.073, 0.13505, 20250512_193109
IPLoad, 15, 0.9156666666666667, 1.8500000000000003, 0.0597, 0.11044500000000002, 1.8500000000000003, 0.074, 0.1369, 20250512_193109
IPLoad, 16, 0.8779166666666667, 1.8500000000000003, 0.059658333333333334, 0.11036791666666668, 1.8500000000000003, 0.0749875, 0.138726875, 20250512_193109
IPLoad, 17, 0.8372499999999999, 1.8500000000000003, 0.05956666666666668, 0.11019833333333334, 1.8500000000000003, 0.0759, 0.14041499999999998, 20250512_193109
IPLoad, 18, 0.7917916666666668, 1.8500000000000003, 0.0594, 0.10989, 1.8500000000000003, 0.0768, 0.14207999999999998, 20250512_193109
IPLoad, 19, 0.749875, 1.8500000000000003, 0.05934583333333333, 0.10978979166666665, 1.8500000000000003, 0.0776, 0.14356000000000002, 20250512_193109
IPLoad, 20, 0.702125, 1.8500000000000003, 0.0593, 0.109705, 1.8500000000000003, 0.0783, 0.14485499999999998, 20250512_193109
IPLoad, 21, 0.656875, 1.8500000000000003, 0.05927916666666667, 0.10966645833333333, 1.8499166666666664, 0.079, 0.14614341666666666, 20250512_193109
IPLoad, 22, 0.6032916666666667, 1.8500000000000003, 0.0592, 0.10952, 1.8500000000000003, 0.07971249999999999, 0.14746812499999998, 20250512_193109
IPLoad, 23, 0.5580416666666667, 1.8500000000000003, 0.05910000000000001, 0.109335, 1.8500000000000003, 0.08020833333333333, 0.1483854166666667, 20250512_193109
IPLoad, 24, 0.5188333333333334, 1.8500000000000003, 0.05910000000000001, 0.109335, 1.8500000000000003, 0.0807, 0.14929499999999998, 20250512_193109
IPLoad, 25, 0.475875, 1.8500000000000003, 0.059, 0.10915000000000001, 1.8500000000000003, 0.0812, 0.15022, 20250512_193109
IPLoad, 26, 0.42208333333333337, 1.8500000000000003, 0.059, 0.10915000000000001, 1.8499166666666669, 0.0816, 0.1509532, 20250512_193109
IPLoad, 27, 0.38162500000000005, 1.8500000000000003, 0.059, 0.10915000000000001, 1.8500000000000003, 0.082, 0.1517, 20250512_193109
IPLoad, 28, 0.33845833333333336, 1.8500000000000003, 0.059, 0.10915000000000001, 1.8500000000000003, 0.0823875, 0.152416875, 20250512_193109
IPLoad, 29, 0.2994583333333333, 1.8500000000000003, 0.05895, 0.10905750000000002, 1.8500000000000003, 0.0826, 0.15281000000000003, 20250512_193109
IPLoad, 30, 0.25837499999999997, 1.8500000000000003, 0.0589, 0.10896500000000002, 1.8500000000000003, 0.0829, 0.153365, 20250512_193109
IPLoad, 31, 0.23229166666666667, 1.8500000000000003, 0.0589, 0.10896500000000002, 1.8499166666666669, 0.08310833333333333, 0.15374349166666665, 20250512_193109
IPLoad, 32, 0.225625, 1.8500000000000003, 0.0589, 0.10896500000000002, 1.8500000000000003, 0.0832, 0.15392, 20250512_193109
IPLoad, 33, 0.204375, 1.8500000000000003, 0.0589, 0.10896500000000002, 1.8500000000000003, 0.0833, 0.154105, 20250512_193109
IPLoad, 34, 0.18495833333333334, 1.8500000000000003, 0.0589, 0.10896500000000002, 1.8500000000000003, 0.08339999999999999, 0.15429, 20250512_193109
