DAC_name, DAC_set_value, DAC_measured, vddd_volt, vddd_curr, vddd_powr, vdda_volt, vdda_curr, vdda_powr, timestamp
IPDAC, 0, 1.6595833333333332, 1.8500000000000003, 0.06110000000000001, 0.11303500000000001, 1.8500000000000003, 0.058100000000000006, 0.107485, 20250512_194945
IPDAC, 1, 1.4824583333333334, 1.8500000000000003, 0.06096666666666667, 0.11278833333333334, 1.8500000000000003, 0.0595, 0.11007499999999999, 20250512_194945
IPDAC, 2, 1.4586666666666668, 1.8500000000000003, 0.06084583333333333, 0.11256479166666668, 1.8500000000000003, 0.060691666666666665, 0.11227958333333332, 20250512_194945
IPDAC, 3, 1.441375, 1.8500000000000003, 0.0608, 0.11248000000000001, 1.8500000000000003, 0.061970833333333336, 0.11464604166666668, 20250512_194945
IPDAC, 4, 1.4280416666666664, 1.8500000000000003, 0.0607, 0.11229499999999999, 1.8500000000000003, 0.063, 0.11655, 20250512_194945
IPDAC, 5, 1.4158333333333335, 1.8500000000000003, 0.06060000000000001, 0.11211, 1.8500000000000003, 0.0641, 0.11858500000000001, 20250512_194945
IPDAC, 6, 1.4052916666666666, 1.8500000000000003, 0.0604875, 0.111901875, 1.8500000000000003, 0.06520833333333333, 0.12063541666666666, 20250512_194945
IPDAC, 7, 1.3929999999999998, 1.8500000000000003, 0.0604, 0.11174, 1.8500000000000003, 0.0663, 0.122655, 20250512_194945
IPDAC, 8, 1.3852916666666666, 1.8500000000000003, 0.060316666666666664, 0.11158583333333334, 1.8500000000000003, 0.06725833333333332, 0.12442791666666668, 20250512_194945
IPDAC, 9, 1.37575, 1.8500000000000003, 0.06020416666666666, 0.11137770833333334, 1.8500000000000003, 0.0683, 0.126355, 20250512_194945
IPDAC, 10, 1.3683750000000001, 1.8500000000000003, 0.06010000000000001, 0.11118500000000002, 1.8499166666666669, 0.06926666666666666, 0.12813756666666667, 20250512_194945
IPDAC, 11, 1.3598333333333334, 1.8500000000000003, 0.06010000000000001, 0.11118500000000002, 1.8500000000000003, 0.07035833333333334, 0.13016291666666668, 20250512_194945
IPDAC, 12, 1.353375, 1.8500000000000003, 0.06, 0.111, 1.8500000000000003, 0.0712, 0.13172, 20250512_194945
IPDAC, 13, 1.3442083333333334, 1.8500000000000003, 0.0599, 0.11081500000000001, 1.8500000000000003, 0.07228749999999999, 0.13373187500000003, 20250512_194945
IPDAC, 14, 1.33775, 1.8500000000000003, 0.0598, 0.11063, 1.8500000000000003, 0.07313333333333333, 0.13529666666666665, 20250512_194945
IPDAC, 15, 1.3329583333333332, 1.8500000000000003, 0.0597, 0.11044500000000002, 1.8500000000000003, 0.0741, 0.137085, 20250512_194945
IPDAC, 16, 1.3236666666666668, 1.8500000000000003, 0.0597, 0.11044500000000002, 1.8500000000000003, 0.07515, 0.1390275, 20250512_194945
IPDAC, 17, 1.3166666666666667, 1.8500000000000003, 0.05960000000000001, 0.11026000000000001, 1.8500000000000003, 0.0761, 0.14078500000000002, 20250512_194945
IPDAC, 18, 1.3095833333333335, 1.8500000000000003, 0.0595, 0.11007499999999999, 1.8500000000000003, 0.0769125, 0.14228812500000002, 20250512_194945
IPDAC, 19, 1.30375, 1.8500000000000003, 0.0594, 0.10989, 1.8500000000000003, 0.0779, 0.144115, 20250512_194945
IPDAC, 20, 1.2977083333333332, 1.8500000000000003, 0.0593125, 0.109728125, 1.8500000000000003, 0.0787, 0.14559500000000003, 20250512_194945
