DAC_name, DAC_set_value, DAC_measured, vddd_volt, vddd_curr, vddd_powr, vdda_volt, vdda_curr, vdda_powr, timestamp
IPLoad, 0, 1.6268333333333331, 1.8500000000000003, 0.060625000000000005, 0.11215625, 1.8500000000000003, 0.0531, 0.098235, 20250508_151707
IPLoad, 1, 1.360458333333333, 1.8500000000000003, 0.05935416666666667, 0.10980520833333333, 1.8500000000000003, 0.0546, 0.10101, 20250508_151707
IPLoad, 2, 1.3025, 1.8500000000000003, 0.058600000000000006, 0.10841, 1.8500000000000003, 0.0562, 0.10397, 20250508_151707
IPLoad, 3, 1.2657916666666666, 1.8500000000000003, 0.05822083333333333, 0.10770854166666667, 1.8500000000000003, 0.0574, 0.10619, 20250508_151707
IPLoad, 4, 1.2309583333333334, 1.8500000000000003, 0.05809583333333334, 0.10747729166666666, 1.8500000000000003, 0.0588, 0.10878, 20250508_151707
IPLoad, 5, 1.2022083333333333, 1.8500000000000003, 0.05817083333333333, 0.10761604166666666, 1.8500000000000003, 0.060012499999999996, 0.111023125, 20250508_151707
IPLoad, 6, 1.1715416666666667, 1.8499166666666669, 0.05837083333333334, 0.107981175, 1.8500000000000003, 0.061375000000000006, 0.11354375000000001, 20250508_151707
IPLoad, 7, 1.144, 1.8500416666666668, 0.05859583333333334, 0.10840473333333334, 1.8500000000000003, 0.0625, 0.11562500000000002, 20250508_151707
IPLoad, 8, 1.1215000000000002, 1.8500000000000003, 0.0588, 0.10878, 1.8500000000000003, 0.0635, 0.11747500000000001, 20250508_151707
IPLoad, 9, 1.0945833333333332, 1.8500000000000003, 0.059012499999999996, 0.10917312500000002, 1.8500000000000003, 0.0646, 0.11951000000000002, 20250508_151707
